Stream order,Altitude (m),CH4 (µM) Average_Ambient Air,DOC (mg L-1),CDOM 440 nm_simple (m-1),SUVA 254,TP (µM),Air Temperature (°C),Atmospheric pressure (ha Pa),Water Temperatre (°C),pH,Conductivity,DO (mg L-1),Turbidity (NTU),Water flow (m/s)_final,Nitrate (NO3) (mg L-1) (AVG),Waterbody (%),Forest (%),Flooded Vegetation (%),Agriculture (%),Built-up Area (%),Bareground (%),Rangeland (%),Terrein Slope (%)
7,316,0.388201999,11.03,0.518175,1.952225748,2.15,31.7,976.1,29.72,7.76,1361.4,8.49,6,0.44704,1.5,2.318462,3.088827,0.005788,78.67969,4.689882,0.014884,11.20247,4.699
7,335,0.561997679,21.56,0.748475,1.169659091,11.63,36.6,971.5,32.13,7.59,1700.3,10.53,11.4,0.44704,2.325,1.9656,1.415636,0.004727,83.71595,4.201967,0.011944,8.684181,4.701577778
6,342,0.201396792,9.483,1.899975,2.8049826,10.9,39.1,968.3,29.88,8.15,1393.8,17.38,7.6,0.44704,2.705,2.352331,5.17076,0.006954,74.5856,4.394247,0.01569,13.47442,6.385111111
6,348,0.120019175,8.998,1.899975,2.700227828,10.22,35.2,968.1,32.05,8.01,1707.4,12.19,20.6,0.44704,1.73,2.34754,5.254049,0.007026,74.36823,4.410633,0.01346,13.59906,7.079444444
6,354,0.113411384,9.097,1.899975,2.873370342,3.75,32.4,971.6,28.39,7.33,1133.6,8.83,4.6,0.44704,2.09,1.404034,0.228909,0.002504,81.57986,2.575308,0.042996,14.16638,7.710666667
6,495,0.425436823,10.061,0.748475,1.636661366,0.27,35.1,954.2,29.71,8.06,814.38,9.28,2.7,0.44704,0.97,2.60173,0.347691,0.007984,85.00314,3.235666,0.004553,8.79924,7.693888889
6,493,0.236123756,7.023,1.439375,2.311853909,3.45,36.1,951.9,30.46,7.51,855.44,8.8,14.8,0.44704,1.405,2.446275,6.168842,0.003757,71.61462,4.835993,0.014103,14.9164,7.693888889
6,495,0.245687852,9.656,0.518175,1.586055302,1.11,37.2,951.7,28.6,7.91,835,6.18,4.3,0.44704,1.58,2.83507,7.481798,0.004916,68.22701,5.384642,0.018832,16.04774,9.485222222
5,519,0.14697299,9.7805,0.518175,1.353944072,2.01,32.2,950.2,30.51,7.7,899.42,7.98,8.6,0.44704,2.015,2.439671,8.208556,0.006496,67.59035,5.761518,0.02154,15.97187,10.58022222
5,516,0.119748141,7.731,0.978775,2.249081619,2.93,31.5,954.1,29.37,7.15,984.18,8.72,13,0.44704,5.585,2.209192,8.425512,0.003657,67.1731,5.865792,0.0221,16.30064,11.18945556
5,517,0.10096063,9.021,2.130275,1.850875734,2.04,31.5,953.9,28.73,5.88,1789.9,6.49,10.7,0.44704,5.16,2.215983,8.667613,0.003768,66.52875,5.972399,0.02277,16.58873,11.18936667
5,517,0.077037471,7.5535,0.978775,1.783616866,1.06,34.3,951.2,31.77,6.39,1836.5,13.16,4.6,0.44704,6.615,2.267177,9.160414,0.003983,64.99379,6.152918,0.024068,17.39765,11.18948889
5,523,0.175435561,8.108,1.209075,1.462808337,1.66,37.4,947.2,32.84,6.27,784.84,13.87,13.2,0.44704,2.13,2.166511,10.16576,0.002249,63.42403,6.53402,0.032188,17.67524,11.23945556
3,711,2.396959603,14.61,0.2303,0.583237509,0.272784,24.2,935.9,23.68,7.78,195.85,6.81,3.2,0.44704,0.97,16.79494,1.224122,0,29.83321,9.268907,0.051434,42.82738,45.08075556
3,697,4.949764568,3.909,9.4423,10.01560501,7.998152,32.7,936.8,25.41,7.35,304.55,5.16,4.3,0.44704,5.045,9.433636,17.83942,0,16.37443,7.068748,0.010352,49.27342,38.53373333
4,652,1.693558528,2.6445,1.1515,6.705653243,3.183398,36.2,941.6,26.7,8.12,500.34,8.87,5.7,0.44704,6.765,3.577309,6.741395,0,40.73557,8.397871,0.005403,40.54245,31.96617778
4,618,1.456347506,3.722,1.6121,5.692530897,25.135412,36.5,943.7,28.19,7.78,589.47,7.21,2.3,0.44704,12.51,3.172424,5.518576,0,47.95657,8.351748,0.004679,34.99601,32.04141
4,610,0.732698565,3.4475,1.6121,5.410964467,4.5707,37.5,943.8,29.04,8.44,554.96,14.94,6.8,0.44704,3.795,2.488837,4.503841,0,55.80829,8.644757,0.002673,28.5516,25.45461111
4,576,0.354016713,3.3775,0.6909,5.318549223,2.176924,38.5,945.3,29.53,8.73,485.42,11.82,7.5,0.44704,2.14,2.601387,4.149652,0,57.70085,7.701649,0.002747,27.84372,24.28833333
5,556,0.765004351,1.9645,0.9212,4.454772207,2.448944,36.3,946.8,27.54,8.73,113.61,7.04,10.2,0.44704,1.53,3.9571,13.67,0.01449,42.95564,6.044169,0.006574,33.35203,20.62732222
5,543,0.521124979,3.4765,0.9212,3.245994535,4.325882,36.5,947.6,27.97,8.27,163.93,6.61,10.5,0.44704,1.515,3.736486,12.06229,0.012768,46.41712,6.338341,0.00592,31.42707,18.79161111
5,537,0.107136735,2.323,0.2303,3.172449419,1.03444,32.8,948.6,27.54,8.25,228.91,7.74,3.1,0.44704,0.955,3.559059,11.25767,0.011907,49.09649,6.536479,0.005521,29.53288,17.70838889
5,540,0.157263195,2.79,0.2303,2.641433692,0.89843,24.1,949.4,26.86,8.45,438.38,10.53,3.8,0.44704,1.625,2.698359,7.43583,0.008328,61.2248,6.092687,0.003832,22.53617,17.14686667
5,38,0.422672663,3.079,0.6909,,1.866,31.2,1010.7,29.67,8.52,918.29,9.24,12.7,0.48768,0.52,3.048084,7.349986,0.054379,76.81866,5.380714,0.028972,7.319206,8.334777778
5,52,2.697193783,5.294,0.6909,4.611220249,1.609,33.8,1007.5,29.97,8.78,932.53,8.32,9.6,0.32512,1.58,3.139908,7.01126,0.054575,76.49221,5.277261,0.024618,8.00017,7.932433333
5,55,1.180527567,2.726,0.4606,4.815517241,2.998,35.2,1005.8,34.22,8.61,878.12,11.38,7.3,0.2032,1.225,3.229952,2.203572,0.028008,83.49238,7.17388,0.058458,3.813756,7.944666667
5,63,0.201756785,5.078,0.4606,5.07948011,2.0215,33.6,1004.1,32.14,8.81,1046.3,9.81,13.6,0.08128,1.505,3.238139,2.186775,0.028797,83.3023,7.262837,0.060104,3.921046,8.935033333
5,74,0.617618874,5.372,1.1515,5.444545793,1.803,31.3,1001.6,32.36,9.13,954.8,10.5,14.3,0.16256,1.35,3.194839,2.244435,0.030513,82.73493,7.63685,0.048028,4.110408,8.038777778
5,87,1.671396237,5.568,1.3818,5.04608477,5.7425,33.1,999.6,31.11,9.38,852.48,14.52,4.9,0.16256,0.405,3.134668,7.450943,0.0593,75.34179,5.331878,0.02009,8.66133,9.132
5,95,0.536523353,5.1565,1.1515,5.49343547,8.2785,26.4,998.9,30.21,9.76,800.68,10.92,6.7,0.16256,3.26,3.129553,7.540136,0.060341,75.54266,4.972584,0.01964,8.73508,8.750333333
5,122,0.670815074,3.252,0.2303,4.744803198,1.455,28.3,1002.2,28.86,8.66,609.93,8.3,1.6,0.16256,0.775,3.087132,7.642844,0.061423,75.8384,4.493736,0.018178,8.858284,8.168222222
5,119,2.685125318,3.959,0.6909,5.351755494,1.4555,27.1,1000.8,28.22,7.99,714.78,7.62,1.4,0.16256,1.275,2.639714,13.15094,0.05716,66.2897,4.180977,0.024586,13.65692,8.778628571
5,127,5.910364529,3.3545,0.6909,5.217707557,1.731,32.3,999.3,30.1,8.23,903.29,12.49,5.4,0.16256,0.47,2.081484,10.06922,0.000764,70.90467,4.936139,0.219899,11.78782,17.23722222
4,167,3.985558189,3.657,0.6909,4.849083949,1.582,33.2,993.5,32.17,8.26,573.46,7.03,3,0.16256,0.785,0.925422,34.63984,0.00941,39.06818,0.872095,0.000867,24.48418,21.40377778
4,179,0.846383315,2.717,0.2303,3.814317262,4.0845,35.1,990.6,32.28,8.65,556.76,10.09,13.4,0.16256,2.355,0.962739,36.73203,0.010105,37.41598,0.636957,0.000931,24.24126,24.022
2,120,16.53945187,4.995,1.3818,5.947687688,4.068,24.4,1001.2,26.14,7.98,1301.5,1.08,3.7,0.69088,2.175,0.652933,23.62527,0,51.1316,1.293804,0,23.29639,20.46422222
3,100,0.308381786,3.319,0.9212,6.244953299,2.281,25,1003.5,27.03,8.22,676.67,6.8,6.2,0.69088,1.275,1.105491,14.85224,0.000393,70.02731,3.067823,0,10.94674,19.13055556
3,75,1.249794551,4.7775,1.1515,6.025641026,3.91,28.4,1005.3,29.77,8.52,1026.2,8.18,23.8,0.42672,0.815,2.76883,11.46436,0.007139,73.45216,3.533076,0.001846,8.772595,19.01433333
4,56,0.166803875,6.06,1.3818,5.966518152,2.0215,32.9,1005.8,30.45,8.9,1065.5,10.55,9.1,0.16256,1.61,2.397349,12.75625,0.003791,74.71819,4.162745,0.0021,5.959582,20.63855556
4,46,0.252640533,5.482,1.1515,5.797409704,5.1435,34.2,1005.9,31.39,9.05,997.92,11.1,8.2,0.48768,1.225,2.487195,11.20184,0.007229,76.92727,4.383079,0.005085,4.988304,23.37922222
4,40,0.242489859,5.1755,1.3818,6.229736257,4.0805,29.6,1005.6,32.18,9.04,1022.8,10.77,17.4,0.24384,1.35,2.254681,12.38277,0.011537,72.82105,4.804343,0.270119,7.455496,29.75933333
5,32,0.274473937,5.8605,1.1515,5.226499445,4.358,35.1,1005.8,32.09,9.11,1050.1,10.15,13.3,0.08128,1.075,2.400838,11.45315,0.008679,75.60194,4.615583,0.144292,5.775523,15.49356667
7,276,1.328687809,9.834,1.6121,3.910931462,4.109,39.7,974.4,30.19,8.23,1496.6,9.53,7.3,0.08128,0.945,1.581954,11.51778,0.035029,68.80614,3.518189,0.023767,14.51713,6.7412
7,290,0.330471281,8.0015,0.9212,3.655327126,16.339,35.5,972.3,31.82,8.73,1161,11.48,3.8,0.08128,0.655,1.578951,11.61961,0.035014,68.61253,3.518655,0.023415,14.61182,7.8051
